Period	Frame	Time [s]	player	x	y
1	20427	817.08	20	0.372	0.2815
1	20427	817.08	21	0.30471	0.12814
1	20427	817.08	22	0.29947	0.67378
1	20427	817.08	23	0.23489	0.16894
1	20427	817.08	24	0.1996	0.4114
1	20427	817.08	25	0.80441	0.44905
1	20428	817.12	15	0.48096	0.13119
1	20428	817.12	16	0.50806	0.29897
1	20428	817.12	17	0.48139	0.45381
1	20428	817.12	18	0.33594	0.05956
1	20428	817.12	19	0.20484	0.08045
1	20428	817.12	20	0.372	0.28147
1	20428	817.12	21	0.30464	0.12727
1	20428	817.12	22	0.29954	0.67256
1	20428	817.12	23	0.23496	0.16868
1	20428	817.12	24	0.19961	0.41093
1	20428	817.12	25	0.8042	0.44883
1	20429	817.16	15	0.48011	0.13025
1	20429	817.16	16	0.50807	0.29864
1	20429	817.16	17	0.4817	0.45374
1	20429	817.16	18	0.33549	0.05922
1	20429	817.16	19	0.20534	0.07891
1	20429	817.16	20	0.372	0.28141
1	20429	817.16	21	0.30459	0.12656
1	20429	817.16	22	0.29963	0.67134
1	20429	817.16	23	0.23504	0.16839
1	20429	817.16	24	0.19966	0.41041
1	20429	817.16	25	0.80397	0.44867
1	20430	817.2	15	0.47925	0.1293
1	20430	817.2	16	0.50809	0.29831
1	20430	817.2	17	0.48203	0.4537
1	20430	817.2	18	0.33504	0.05896
1	20430	817.2	19	0.20593	0.0774
1	20430	817.2	20	0.37202	0.2814
1	20430	817.2	21	0.30455	0.12583
1	20430	817.2	22	0.29975	0.67015
1	20430	817.2	23	0.23517	0.16816
1	20430	817.2	24	0.19972	0.40986
1	20430	817.2	25	0.80373	0.44856
1	20431	817.24	15	0.4784	0.12842
1	20431	817.24	16	0.50814	0.29794
1	20431	817.24	17	0.48237	0.45368
1	20431	817.24	18	0.33461	0.05868
1	20431	817.24	19	0.20661	0.07594
1	20431	817.24	20	0.37209	0.2815
1	20431	817.24	21	0.30453	0.12506
1	20431	817.24	22	0.29993	0.66895
1	20431	817.24	23	0.2353	0.1679
1	20431	817.24	24	0.19977	0.40929
1	20431	817.24	25	0.80348	0.44845
1	20432	817.28	15	0.47754	0.12744
1	20432	817.28	16	0.50822	0.29754
1	20432	817.28	17	0.48274	0.45369
1	20432	817.28	18	0.33421	0.05837
1	20432	817.28	19	0.20734	0.07453
1	20432	817.28	20	0.37218	0.28163
1	20432	817.28	21	0.30451	0.12427
1	20432	817.28	22	0.30011	0.66775
1	20432	817.28	23	0.23541	0.16771
1	20432	817.28	24	0.19989	0.40878
1	20432	817.28	25	0.80324	0.44834
1	20433	817.32	15	0.47667	0.12644
1	20433	817.32	16	0.50831	0.29719
1	20433	817.32	17	0.48311	0.45368
1	20433	817.32	18	0.33382	0.05804
1	20433	817.32	19	0.20814	0.07316
1	20433	817.32	20	0.37227	0.28168
1	20433	817.32	21	0.30452	0.12353
1	20433	817.32	22	0.30035	0.66657
1	20433	817.32	23	0.23552	0.16733
1	20433	817.32	24	0.20004	0.40823
1	20433	817.32	25	0.803	0.44823
1	20434	817.36	15	0.47578	0.12551
1	20434	817.36	16	0.50842	0.29681
1	20434	817.36	17	0.48349	0.45369
1	20434	817.36	18	0.33344	0.05769
1	20434	817.36	19	0.20901	0.07183
1	20434	817.36	20	0.37237	0.28176
1	20434	817.36	21	0.30455	0.12285
